recommendationid,steamid,num_games_owned,num_reviews,playtime_forever,playtime_last_two_weeks,playtime_at_review,last_played,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
180142977,76561198301260016,50,1,8177,99,8120,1732770077,english,Isaac <3,1732751525,1732751525,True,0,0,0,0,True,False,False
180142621,76561199083491226,0,1,636,609,575,1732755229,english,"I have an unhealthy amount of hours on this game not accounted for on steam, so it would be rude for me to not leave a good review here",1732751460,1732751460,True,0,0,0,0,True,False,False
180142536,76561198096007925,132,5,3869,325,3869,1732680757,english,good good,1732751444,1732751444,True,0,0,0,0,True,False,False
180141214,76561198002516677,675,4,27002,83,27002,1732751252,english,"Continues to be a game with such a fresh experience.
",1732751213,1732751213,True,0,0,0,0,True,False,False
180141182,76561199160768566,20,3,4295,320,4294,1732751323,english,when,1732751208,1732751208,True,0,0,0,0,True,False,False
180138051,76561199028678900,50,1,89,89,38,1732753480,english,with my 100000 hours of game play i can say i finally got past one room would recommend,1732750674,1732750674,True,0,1,0.476190477609634399,2,True,False,False
180136885,76561198805993451,555,6,14423,2138,14299,1732761162,english,"♥
",1732750468,1732750468,True,0,0,0,0,True,False,False
180133479,76561198269147507,40,5,4721,2427,4697,1732765904,english,churulik,1732749894,1732749894,True,1,0,0.523809552192687988,0,True,False,False
180132586,76561198167687126,0,2,1048,79,1048,1732055451,english,Amazing game that my wife and I love to hate. We own it on 4 different platforms because we hate ourselves. Amazing game you should play it and follow the one true leader ISAAC,1732749744,1732749744,True,0,0,0,0,True,False,False
180132174,76561198335108822,37,35,186,186,186,1732749654,english,nice!,1732749679,1732749679,True,1,0,0.523809552192687988,0,True,False,False
180132071,76561198871842706,0,15,1902,233,1669,1732804792,english,"isaac is binding
",1732749663,1732749663,True,0,0,0,0,True,False,False
180126029,76561199071317480,0,5,4486,1721,4139,1732783038,english,"ISAAC!
ISAAAAACCCC!!",1732748742,1732748742,True,0,0,0,0,True,False,False
180120756,76561199103376399,0,1,6415,4723,6307,1732754884,english,"IT IS A PRETTY FUN GAME WHEN YOU GET QUALITY 4 ITEMS. SPIDER ENEMIES ARE THE WORST. GGS
SPENT 30 BUCKS TO BULLY ENEMIES BY CRYING. :)
",1732747945,1732747945,True,0,0,0,0,True,False,False
180120613,76561199523490737,0,5,2126,857,2126,1732747802,english,Isaac if he was binded,1732747923,1732747923,True,0,0,0,0,True,False,False
180119888,76561198141649251,592,42,1053,659,855,1732773518,english,dlc just totally fucking deletes your save file gg,1732747814,1732748177,False,1,0,0.454887211322784424,0,True,False,False
180118945,76561198104782382,120,7,1717,484,1548,1732804617,english,Hold R,1732747677,1732747677,True,0,0,0,0,True,False,False
180114715,76561198194650702,0,1,43746,2179,43473,1732778517,english,Spent many days playing this dank shit,1732747075,1732747075,True,0,0,0,0,True,False,False
180113678,76561198007266717,103,7,37093,423,37093,1732746748,english,its ok,1732746926,1732746926,True,0,0,0,0,True,False,False
180112929,76561199349493877,23,5,1705,192,1649,1732750072,english,good game,1732746825,1732746825,True,0,0,0,0,True,False,False
180112188,76561199223666045,122,2,3090,808,3090,1732747336,english,Someone please gift me repentance for christmas,1732746717,1732746717,True,0,0,0,0,True,False,False
180107049,76561198364046422,0,1,3694,1232,3693,1732746105,english,Cain.,1732746036,1732746036,True,0,0,0,0,True,False,False
180105493,76561199375252589,52,3,7873,1558,7584,1732771111,english,"> Joins multiplayer w/ friends
> Doesn't get a single item in the run
> Beats the game
> First out in Deathmatch

10/10 Experience",1732745832,1732745832,True,0,0,0,0,True,False,False
180104973,76561199147230618,0,10,4739,2413,4738,1732805008,english,"The best game we have at the moment is the binding of Isaac. many AAA projects cannot compare with this masterpiece, playing as a child, crying at poop, making deals with the devil as the meaning of life. I want to express my deep gratitude to Edmund McMillan for such a game.",1732745766,1732745766,True,0,0,0,0,True,False,False
180103984,76561199091199553,0,6,9182,429,9172,1732746294,english,"Flying through the unlocks, only a quarter of the entire game unlocked.
Help me
I am going insane",1732745637,1732745637,True,0,0,0,0,True,False,False
180099141,76561199090601852,0,7,524,524,197,1732764646,english,"So chaotic, it's so awesome. I love it",1732745018,1732745018,True,0,0,0,0,True,False,False
180095850,76561198066287291,291,6,31380,202,31267,1732753993,english,nice,1732744605,1732744605,True,0,0,0,0,True,False,False
180094932,76561198256828302,167,2,13355,2300,13247,1732806193,english,it's a very reliable game love it,1732744483,1732744483,True,0,0,0,0,True,False,False
180094787,76561198146607432,1028,20,34350,491,34281,1732806396,english,help,1732744465,1732744465,True,0,2,0,0,True,False,False
180089375,76561198818007415,0,3,26230,278,26230,1732638173,english,🎪🥴😨,1732743793,1732743793,True,0,0,0,0,True,False,False
180086415,76561198118146690,0,8,15774,1652,15653,1732785358,english,"Don't get this game.



















Said no one ever.",1732743443,1732743443,True,0,0,0,0,True,False,False
